ZIP Code Standard,Zip Codes Clean,City ,State,County,Crime Rate ,Urban or Rural,Population (2010 US Census),Low Access Tract 1and10,Vehicle Access,Low Income Tracts,Poverty Rate,Poverty Tract (At or > 20%),Median Family Income,"Family Income Tract (At or < $59,039)",Low Access to Supermarket,Risk of Of Being Distant from SM,Access to Exercise (%),Lack of Exercise Access,High School Graduation Rate,Below National Average (84.6%),Percentage Unemployed,Unemployed Tract (National Average = 3.7%,Percentage Uninsured,Uninsured Tract (National Average = 8.8%
59260,59260,Richland,Montana,Valley,0,1,2793,0,0,0,15.6,0,59137,0,123.593389,0,0.64,1,0.87,0,0.033,0,0.13,1
59006,59006,Ballantine ,Montana,Yellowstone,0,1,3751,0,1,1,30,1,33039,1,3.011439919,0,0.84,0,0.85,0,0.035,0,0.08,0
59024,59024,Custer,Montana,Yellowstone,0,1,3805,0,0,0,8.9,0,60778,0,2581.24323,1,0.84,0,0.85,0,0.035,0,0.08,0
59037,59037,HUNTLEY,Montana,Yellowstone,0,1,4178,0,0,1,27.9,1,47622,1,115.173673,0,0.84,0,0.85,0,0.035,0,0.08,0
59079,59079,SHEPHERD,Montana,Yellowstone,0,1,3241,0,0,0,12.7,0,60764,0,1502.007322,1,0.84,0,0.85,0,0.035,0,0.08,0
59101,59101,BILLINGS,Montana,Yellowstone,1,1,4011,0,1,1,30,1,27373,1,49.41867822,0,0.84,0,0.85,0,0.035,0,0.08,0
59102,59102,BILLINGS,Montana,Yellowstone,0,1,2997,0,0,0,16.7,0,60750,0,0,0,0.84,0,0.85,0,0.035,0,0.08,0
59102,59102,BILLINGS,Montana,Yellowstone,0,1,2997,0,0,0,16.7,0,60750,0,0,0,0.84,0,0.85,0,0.035,0,0.08,0
59102,59102,BILLINGS,Montana,Yellowstone,0,1,2997,0,0,0,16.7,0,60750,0,0,0,0.84,0,0.85,0,0.035,0,0.08,0
59103,59103,BILLINGS,Montana,Yellowstone,0,1,3323,0,0,1,20.9,1,52982,1,0.221054122,0,0.84,0,0.85,0,0.035,0,0.08,0
59105,59105,BILLINGS,Montana,Yellowstone,0,1,4116,0,0,1,20.8,1,48712,1,46.69735718,0,0.84,0,0.85,0,0.035,0,0.08,0
59105,59105,BILLINGS,Montana,Yellowstone,1,1,3145,0,0,0,8.9,0,94500,0,951.3950839,0,0.84,0,0.85,0,0.035,0,0.08,0
59106,59106,BILLINGS,Montana,Yellowstone,0,1,5057,0,0,0,12.1,0,76750,0,2320.103305,1,0.84,0,0.85,0,0.035,0,0.08,0
59107,59107,BILLINGS,Montana,Yellowstone,0,1,7400,0,0,0,10.9,0,66125,0,3618.73442,1,0.84,0,0.85,0,0.035,0,0.08,0
59108,59108,BILLINGS,Montana,Yellowstone,0,1,3744,0,0,0,10.8,0,85132,0,2278.726903,1,0.84,0,0.85,0,0.035,0,0.08,0
69034,69034,Indianola,Nebraska,Red Willow,0,1,5018,0,0,0,5.6,0,56250,1,2888.624064,1,0.74,0,0.98,0,0.026,0,0.09,1
89031,89031,NORTH LAS VEGAS,Nevada,Clark,1,1,5645,0,0,1,22.9,1,38286,1,0,0,0.73,0,0.83,1,0.052,1,0.13,1
89183,89183,Las Vegas,Nevada,Clark,1,1,6851,0,0,1,20.1,1,54426,1,0,0,0.73,0,0.83,1,0.052,1,0.13,1
89450,89450,Incline Village,Nevada,Washoe,1,1,3236,0,1,1,35.3,1,50223,1,0,0,0.84,0,0.84,1,0.042,1,0.12,1
88210,88210,Artesia,New Mexico,Eddy,0,1,1630,0,0,1,21.9,1,57763,1,0,0,0.71,0,0.75,1,0.053,1,0.08,0
87401,87401,Farmington,New Mexico,San Juan,1,1,4345,0,0,0,6.6,0,101656,0,2987.174893,1,0.55,1,0.67,1,0.072,1,0.14,1
87420,87420,Shiprock,New Mexico,San Juan,0,1,2304,0,0,0,15.5,0,65278,0,176.1942794,0,0.55,1,0.67,1,0.072,1,0.14,1
87505,87505,SANTA FE,New Mexico,Santa Fe,0,1,3944,0,0,0,8.7,0,101250,0,1878.926392,1,0.77,0,0.68,1,0.051,1,0.13,1
87508,87508,SANTA FE,New Mexico,Santa Fe,0,1,3527,0,0,0,10.6,0,76750,0,718.8743279,0,0.77,0,0.68,1,0.051,1,0.13,1
45227,45227,Cincinnati,Ohio,Hamilton,1,1,1068,0,1,1,46.3,1,22228,1,109.8273315,0,0.95,0,0.87,0,0.044,1,0.06,0
43910,43910,Bloomingdale ,Ohio,Jefferson,0,1,3792,0,0,0,14.1,0,55471,1,162.0093337,0,0.76,0,0.93,0,0.073,1,0.06,0
